ApplicableEntity,PredefinedType,PsetName
IfcSystem,,Pset_MaintenanceTriggerCondition
IfcElementType,,Pset_MaintenanceTriggerCondition
IfcAsset,,Pset_MaintenanceTriggerDuration
IfcElement,,Pset_MaintenanceTriggerDuration
IfcSystem,,Pset_MaintenanceTriggerDuration
IfcElementType,,Pset_MaintenanceTriggerDuration
IfcAsset,,Pset_MaintenanceTriggerPerformance
IfcElement,,Pset_MaintenanceTriggerPerformance
IfcSystem,,Pset_MaintenanceTriggerPerformance
IfcElementType,,Pset_MaintenanceTriggerPerformance
IfcAsset,,Pset_RepairOccurrence
IfcElement,,Pset_RepairOccurrence
IfcSystem,,Pset_RepairOccurrence
IfcAudioVisualAppliance,,Pset_AudioVisualApplianceTypeCommon
IfcAudioVisualApplianceType,,Pset_AudioVisualApplianceTypeCommon
IfcAudioVisualAppliance,AMPLIFIER,Pset_AudioVisualApplianceTypeAmplifier
IfcAudioVisualApplianceType,AMPLIFIER,Pset_AudioVisualApplianceTypeAmplifier
IfcAudioVisualAppliance,CAMERA,Pset_AudioVisualApplianceTypeCamera
IfcAudioVisualApplianceType,CAMERA,Pset_AudioVisualApplianceTypeCamera
IfcAudioVisualAppliance,COMMUNICATIONTERMINAL,Pset_AudioVisualApplianceTypeRailwayCommunicationTerminal
IfcAudioVisualApplianceType,COMMUNICATIONTERMINAL,Pset_AudioVisualApplianceTypeRailwayCommunicationTerminal
IfcAudioVisualAppliance,DISPLAY,Pset_AudioVisualApplianceTypeDisplay
IfcAudioVisualApplianceType,DISPLAY,Pset_AudioVisualApplianceTypeDisplay
IfcAudioVisualAppliance,PLAYER,Pset_AudioVisualApplianceTypePlayer
IfcAudioVisualApplianceType,PLAYER,Pset_AudioVisualApplianceTypePlayer
IfcAudioVisualAppliance,PROJECTOR,Pset_AudioVisualApplianceTypeProjector
IfcAudioVisualApplianceType,PROJECTOR,Pset_AudioVisualApplianceTypeProjector
IfcAudioVisualAppliance,RECEIVER,Pset_AudioVisualApplianceTypeReceiver
IfcAudioVisualApplianceType,RECEIVER,Pset_AudioVisualApplianceTypeReceiver
IfcAudioVisualAppliance,RECORDINGEQUIPMENT,Pset_AudioVisualApplianceTypeRecordingEquipment
IfcAudioVisualApplianceType,RECORDINGEQUIPMENT,Pset_AudioVisualApplianceTypeRecordingEquipment
IfcAudioVisualAppliance,SPEAKER,Pset_AudioVisualApplianceTypeSpeaker
IfcAudioVisualApplianceType,SPEAKER,Pset_AudioVisualApplianceTypeSpeaker
IfcAudioVisualAppliance,TUNER,Pset_AudioVisualApplianceTypeTuner
IfcAudioVisualApplianceType,TUNER,Pset_AudioVisualApplianceTypeTuner
IfcBeam,,Pset_BeamCommon
IfcBeamType,,Pset_BeamCommon
IfcBeam,,Pset_ConcreteElementGeneral
IfcBuildingElementProxy,,Pset_ConcreteElementGeneral
IfcChimney,,Pset_ConcreteElementGeneral
IfcCivilElement,,Pset_ConcreteElementGeneral
IfcColumn,,Pset_ConcreteElementGeneral
IfcFooting,,Pset_ConcreteElementGeneral
IfcMember,,Pset_ConcreteElementGeneral
IfcPile,,Pset_ConcreteElementGeneral
IfcPlate,,Pset_ConcreteElementGeneral
IfcRailing,,Pset_ConcreteElementGeneral
IfcRampFlight,,Pset_ConcreteElementGeneral
IfcRamp,,Pset_ConcreteElementGeneral
IfcRoof,,Pset_ConcreteElementGeneral
IfcSlab,,Pset_ConcreteElementGeneral
IfcStairFlight,,Pset_ConcreteElementGeneral
IfcStair,,Pset_ConcreteElementGeneral
IfcWall,,Pset_ConcreteElementGeneral
IfcBeamType,,Pset_ConcreteElementGeneral
IfcBuildingElementProxyType,,Pset_ConcreteElementGeneral
IfcChimneyType,,Pset_ConcreteElementGeneral
IfcCivilElementType,,Pset_ConcreteElementGeneral
IfcColumnType,,Pset_ConcreteElementGeneral
IfcFootingType,,Pset_ConcreteElementGeneral
IfcMemberType,,Pset_ConcreteElementGeneral
IfcPileType,,Pset_ConcreteElementGeneral
IfcPlateType,,Pset_ConcreteElementGeneral
IfcRailingType,,Pset_ConcreteElementGeneral
IfcRampFlightType,,Pset_ConcreteElementGeneral
IfcRampType,,Pset_ConcreteElementGeneral
IfcRoofType,,Pset_ConcreteElementGeneral
IfcSlabType,,Pset_ConcreteElementGeneral
IfcStairFlightType,,Pset_ConcreteElementGeneral
IfcStairType,,Pset_ConcreteElementGeneral
IfcWallType,,Pset_ConcreteElementGeneral
IfcBeam,,Pset_PrecastConcreteElementFabrication
IfcBuildingElementProxy,,Pset_PrecastConcreteElementFabrication
IfcChimney,,Pset_PrecastConcreteElementFabrication
IfcCivilElement,,Pset_PrecastConcreteElementFabrication
IfcColumn,,Pset_PrecastConcreteElementFabrication
IfcFooting,,Pset_PrecastConcreteElementFabrication
IfcMember,,Pset_PrecastConcreteElementFabrication
IfcPile,,Pset_PrecastConcreteElementFabrication
IfcPlate,,Pset_PrecastConcreteElementFabrication
IfcRampFlight,,Pset_PrecastConcreteElementFabrication
IfcRamp,,Pset_PrecastConcreteElementFabrication
IfcRoof,,Pset_PrecastConcreteElementFabrication
IfcSlab,,Pset_PrecastConcreteElementFabrication
IfcStairFlight,,Pset_PrecastConcreteElementFabrication
IfcStair,,Pset_PrecastConcreteElementFabrication
IfcWall,,Pset_PrecastConcreteElementFabrication
IfcBeamType,,Pset_PrecastConcreteElementFabrication
IfcBuildingElementProxyType,,Pset_PrecastConcreteElementFabrication
IfcChimneyType,,Pset_PrecastConcreteElementFabrication
IfcCivilElementType,,Pset_PrecastConcreteElementFabrication
IfcColumnType,,Pset_PrecastConcreteElementFabrication
IfcFootingType,,Pset_PrecastConcreteElementFabrication
IfcMemberType,,Pset_PrecastConcreteElementFabrication
IfcPileType,,Pset_PrecastConcreteElementFabrication
IfcPlateType,,Pset_PrecastConcreteElementFabrication
IfcRampFlightType,,Pset_PrecastConcreteElementFabrication
IfcRampType,,Pset_PrecastConcreteElementFabrication
IfcRoofType,,Pset_PrecastConcreteElementFabrication
IfcSlabType,,Pset_PrecastConcreteElementFabrication
IfcStairFlightType,,Pset_PrecastConcreteElementFabrication
IfcStairType,,Pset_PrecastConcreteElementFabrication
IfcWallType,,Pset_PrecastConcreteElementFabrication
IfcBeam,,Pset_PrecastConcreteElementGeneral
IfcBuildingElementProxy,,Pset_PrecastConcreteElementGeneral
IfcChimney,,Pset_PrecastConcreteElementGeneral
IfcCivilElement,,Pset_PrecastConcreteElementGeneral
IfcColumn,,Pset_PrecastConcreteElementGeneral
IfcFooting,,Pset_PrecastConcreteElementGeneral
IfcMember,,Pset_PrecastConcreteElementGeneral
IfcPile,,Pset_PrecastConcreteElementGeneral
IfcPlate,,Pset_PrecastConcreteElementGeneral
IfcRampFlight,,Pset_PrecastConcreteElementGeneral
IfcRamp,,Pset_PrecastConcreteElementGeneral
IfcRoof,,Pset_PrecastConcreteElementGeneral
IfcSlab,,Pset_PrecastConcreteElementGeneral
IfcStairFlight,,Pset_PrecastConcreteElementGeneral
IfcStair,,Pset_PrecastConcreteElementGeneral
IfcWall,,Pset_PrecastConcreteElementGeneral
IfcBeamType,,Pset_PrecastConcreteElementGeneral
IfcBuildingElementProxyType,,Pset_PrecastConcreteElementGeneral
IfcChimneyType,,Pset_PrecastConcreteElementGeneral
IfcCivilElementType,,Pset_PrecastConcreteElementGeneral
IfcColumnType,,Pset_PrecastConcreteElementGeneral
IfcFootingType,,Pset_PrecastConcreteElementGeneral
IfcMemberType,,Pset_PrecastConcreteElementGeneral
IfcPileType,,Pset_PrecastConcreteElementGeneral
IfcPlateType,,Pset_PrecastConcreteElementGeneral
IfcRampFlightType,,Pset_PrecastConcreteElementGeneral
IfcRampType,,Pset_PrecastConcreteElementGeneral
IfcRoofType,,Pset_PrecastConcreteElementGeneral
IfcSlabType,,Pset_PrecastConcreteElementGeneral
IfcStairFlightType,,Pset_PrecastConcreteElementGeneral
IfcStairType,,Pset_PrecastConcreteElementGeneral
IfcWallType,,Pset_PrecastConcreteElementGeneral
IfcBeam,,Pset_ReinforcementBarPitchOfBeam
IfcBeamType,,Pset_ReinforcementBarPitchOfBeam
IfcBearing,,Pset_BearingCommon
IfcBearingType,,Pset_BearingCommon
IfcBoiler,,Pset_BoilerTypeCommon
IfcBoilerType,,Pset_BoilerTypeCommon
IfcBoiler,STEAM,Pset_BoilerTypeSteam
IfcBoilerType,STEAM,Pset_BoilerTypeSteam
IfcBoiler,WATER,Pset_BoilerTypeWater
IfcBoilerType,WATER,Pset_BoilerTypeWater
IfcBorehole,,Pset_BoreholeCommon
IfcBridge,,Pset_BridgeCommon
IfcBuildingElementProxy,,Pset_BuildingElementProxyCommon
IfcBuildingElementProxyType,,Pset_BuildingElementProxyCommon
IfcBuildingElementProxy,PROVISIONFORVOID,Pset_ProvisionForVoid
IfcVirtualElement,PROVISIONFORVOID,Pset_ProvisionForVoid
IfcBuilding,,Pset_BuildingCommon
IfcBuilding,,Pset_BuildingUse
IfcBuilding,,Pset_BuildingUseAdjacent
IfcBuilding,,Pset_OutsideDesignCriteria
IfcBuildingStorey,,Pset_BuildingStoreyCommon
IfcBuildingSystem,,Pset_BuildingSystemCommon
IfcBuiltSystem,,Pset_ProcessCapacity
IfcDistributionSystem,,Pset_ProcessCapacity
IfcDoor,,Pset_ProcessCapacity
IfcSpace,,Pset_ProcessCapacity
IfcTransportationDevice,,Pset_ProcessCapacity
IfcZone,,Pset_ProcessCapacity
IfcDoorType,,Pset_ProcessCapacity
IfcSpaceType,,Pset_ProcessCapacity
IfcTransportationDeviceType,,Pset_ProcessCapacity
IfcBuiltSystem,RAILWAYLINE,Pset_BuiltSystemRailwayLine
IfcBuiltSystem,RAILWAYTRACK,Pset_BuiltSystemRailwayTrack
IfcBurner,,Pset_BurnerTypeCommon
IfcBurnerType,,Pset_BurnerTypeCommon
IfcCableCarrierFitting,,Pset_CableCarrierFittingTypeCommon
IfcCableCarrierFittingType,,Pset_CableCarrierFittingTypeCommon
IfcCableCarrierFitting,BEND,Pset_FittingBend
IfcDuctFitting,BEND,Pset_FittingBend
IfcPipeFitting,BEND,Pset_FittingBend
IfcCableCarrierFittingType,BEND,Pset_FittingBend
IfcDuctFittingType,BEND,Pset_FittingBend
IfcPipeFittingType,BEND,Pset_FittingBend
IfcCableCarrierSegment,,Pset_CableCarrierSegmentTypeCommon
IfcCableCarrierSegmentType,,Pset_CableCarrierSegmentTypeCommon
IfcCableCarrierSegment,,Pset_RailwayCableCarrier
IfcCableCarrierSegment,CABLELADDERSEGMENT,Pset_CableCarrierSegmentTypeCableLadderSegment
IfcCableCarrierSegmentType,CABLELADDERSEGMENT,Pset_CableCarrierSegmentTypeCableLadderSegment
IfcCableCarrierSegment,CABLETRAYSEGMENT,Pset_CableCarrierSegmentTypeCableTraySegment
IfcCableCarrierSegmentType,CABLETRAYSEGMENT,Pset_CableCarrierSegmentTypeCableTraySegment
IfcCableCarrierSegment,CABLETRUNKINGSEGMENT,Pset_CableCarrierSegmentTypeCableTrunkingSegment
IfcCableCarrierSegmentType,CABLETRUNKINGSEGMENT,Pset_CableCarrierSegmentTypeCableTrunkingSegment
IfcCableCarrierSegment,CATENARYWIRE,Pset_CableCarrierSegmentTypeCatenaryWire
IfcCableCarrierSegmentType,CATENARYWIRE,Pset_CableCarrierSegmentTypeCatenaryWire
IfcCableCarrierSegment,CONDUITSEGMENT,Pset_CableCarrierSegmentTypeConduitSegment
IfcCableCarrierSegmentType,CONDUITSEGMENT,Pset_CableCarrierSegmentTypeConduitSegment
IfcCableCarrierSegment,DROPPER,Pset_CableCarrierSegmentTypeDropper
IfcCableCarrierSegmentType,DROPPER,Pset_CableCarrierSegmentTypeDropper
IfcCableFitting,,Pset_CableFittingTypeCommon
IfcCableFittingType,,Pset_CableFittingTypeCommon
IfcCableFitting,,Pset_TelecomCableGeneral
IfcCableSegment,,Pset_TelecomCableGeneral
IfcCableFittingType,,Pset_TelecomCableGeneral
IfcCableSegmentType,,Pset_TelecomCableGeneral
IfcCableFitting,EXIT,Pset_CableFittingTypeExit
IfcCableFittingType,EXIT,Pset_CableFittingTypeExit
IfcCableFitting,FANOUT,Pset_CableFittingTypeFanout
IfcCableFittingType,FANOUT,Pset_CableFittingTypeFanout
IfcCableFitting,JUNCTION,Pset_FittingJunction
IfcDuctFitting,JUNCTION,Pset_FittingJunction
IfcPipeFitting,JUNCTION,Pset_FittingJunction
IfcCableCarrierFitting,JUNCTION,Pset_FittingJunction
IfcCableFittingType,JUNCTION,Pset_FittingJunction
IfcDuctFittingType,JUNCTION,Pset_FittingJunction
IfcPipeFittingType,JUNCTION,Pset_FittingJunction
IfcCableCarrierFittingType,JUNCTION,Pset_FittingJunction
IfcCableFitting,TRANSITION,Pset_FittingTransition
IfcDuctFitting,TRANSITION,Pset_FittingTransition
IfcPipeFitting,TRANSITION,Pset_FittingTransition
IfcCableCarrierFitting,TRANSITION,Pset_FittingTransition
IfcCableFittingType,TRANSITION,Pset_FittingTransition
IfcDuctFittingType,TRANSITION,Pset_FittingTransition
IfcPipeFittingType,TRANSITION,Pset_FittingTransition
IfcCableCarrierFittingType,TRANSITION,Pset_FittingTransition
IfcCableFitting,TRANSITION,Pset_OpticalAdapter
IfcCableFittingType,TRANSITION,Pset_OpticalAdapter
IfcCableSegment,,Pset_CableSegmentConnector
IfcCableSegmentType,,Pset_CableSegmentConnector
IfcCableSegment,,Pset_CableSegmentOccurrence
IfcCableSegment,,Pset_CableSegmentTypeCommon
IfcCableSegmentType,,Pset_CableSegmentTypeCommon
IfcCableSegment,BUSBARSEGMENT,Pset_CableSegmentTypeBusBarSegment
IfcCableSegmentType,BUSBARSEGMENT,Pset_CableSegmentTypeBusBarSegment
IfcCableSegment,CABLESEGMENT,Pset_CableSegmentTypeCableSegment
IfcCableSegmentType,CABLESEGMENT,Pset_CableSegmentTypeCableSegment
IfcCableSegment,CABLESEGMENT,Pset_CoaxialCable
IfcCableSegmentType,CABLESEGMENT,Pset_CoaxialCable
IfcCableSegment,CABLESEGMENT,Pset_PatchCordCable
IfcCableSegment,OPTICALCABLESEGMENT,Pset_PatchCordCable
IfcCableSegmentType,CABLESEGMENT,Pset_PatchCordCable
IfcCableSegmentType,OPTICALCABLESEGMENT,Pset_PatchCordCable
IfcCableSegment,CABLESEGMENT,Pset_SymmetricPairCable
IfcCableSegmentType,CABLESEGMENT,Pset_SymmetricPairCable
IfcCableSegment,CONDUCTORSEGMENT,Pset_CableSegmentTypeConductorSegment
IfcCableSegmentType,CONDUCTORSEGMENT,Pset_CableSegmentTypeConductorSegment
IfcCableSegment,CONDUCTORSEGMENT,Pset_CableSegmentTypeEarthingConductor
IfcCableSegmentType,CONDUCTORSEGMENT,Pset_CableSegmentTypeEarthingConductor
IfcCableSegment,CONDUCTORSEGMENT,Pset_ElectricalFeederLine
IfcCableSegmentType,CONDUCTORSEGMENT,Pset_ElectricalFeederLine
IfcCableSegment,CONTACTWIRESEGMENT,Pset_CableSegmentTypeContactWire
IfcCableSegmentType,CONTACTWIRESEGMENT,Pset_CableSegmentTypeContactWire
IfcCableSegment,CORESEGMENT,Pset_CableSegmentTypeCoreSegment
IfcCableSegmentType,CORESEGMENT,Pset_CableSegmentTypeCoreSegment
IfcCableSegment,FIBERSEGMENT,Pset_CableSegmentOccurenceFiberSegment
IfcCableSegment,FIBERSEGMENT,Pset_CableSegmentTypeFiberSegment
IfcCableSegmentType,FIBERSEGMENT,Pset_CableSegmentTypeFiberSegment
IfcCableSegment,FIBERTUBE,Pset_CableSegmentTypeFiberTubeSegment
IfcCableSegmentType,FIBERTUBE,Pset_CableSegmentTypeFiberTubeSegment
IfcCableSegment,OPTICALCABLESEGMENT,Pset_CableSegmentTypeOpticalCableSegment
IfcCableSegmentType,OPTICALCABLESEGMENT,Pset_CableSegmentTypeOpticalCableSegment
IfcCableSegment,OPTICALCABLESEGMENT,Pset_OpticalPigtail
IfcCableSegmentType,OPTICALCABLESEGMENT,Pset_OpticalPigtail
IfcCableSegment,STITCHWIRE,Pset_CableSegmentTypeStitchWire
IfcCableSegmentType,STITCHWIRE,Pset_CableSegmentTypeStitchWire
IfcCableSegment,WIREPAIRSEGMENT,Pset_CableSegmentTypeWirePairSegment
IfcCableSegmentType,WIREPAIRSEGMENT,Pset_CableSegmentTypeWirePairSegment
IfcChiller,,Pset_ChillerTypeCommon
IfcChillerType,,Pset_ChillerTypeCommon
IfcChimney,,Pset_ChimneyCommon
IfcChimneyType,,Pset_ChimneyCommon
IfcCivilElement,,Pset_CivilElementCommon
IfcCivilElementType,,Pset_CivilElementCommon
IfcCoil,,Pset_CoilOccurrence
IfcCoil,,Pset_CoilTypeCommon
IfcCoilType,,Pset_CoilTypeCommon
IfcCoil,,Pset_CoilTypeHydronic
IfcCoilType,,Pset_CoilTypeHydronic
IfcColumn,,Pset_ColumnCommon
IfcColumnType,,Pset_ColumnCommon
IfcColumn,,Pset_ReinforcementBarPitchOfColumn
IfcColumnType,,Pset_ReinforcementBarPitchOfColumn
IfcCommunicationsAppliance,,Pset_CommunicationsApplianceTypeCommon
IfcCommunicationsApplianceType,,Pset_CommunicationsApplianceTypeCommon
IfcCommunicationsAppliance,ANTENNA,Pset_CommunicationsApplianceTypeAntenna
IfcCommunicationsApplianceType,ANTENNA,Pset_CommunicationsApplianceTypeAntenna
IfcCommunicationsAppliance,AUTOMATON,Pset_CommunicationsApplianceTypeAutomaton
IfcCommunicationsApplianceType,AUTOMATON,Pset_CommunicationsApplianceTypeAutomaton
IfcCommunicationsAppliance,COMPUTER,Pset_CommunicationsApplianceTypeComputer
IfcCommunicationsApplianceType,COMPUTER,Pset_CommunicationsApplianceTypeComputer
IfcCommunicationsAppliance,GATEWAY,Pset_CommunicationsApplianceTypeGateway
IfcCommunicationsApplianceType,GATEWAY,Pset_CommunicationsApplianceTypeGateway
IfcCommunicationsAppliance,INTELLIGENTPERIPHERAL,Pset_CommunicationsApplianceTypeIntelligentPeripheral
IfcCommunicationsApplianceType,INTELLIGENTPERIPHERAL,Pset_CommunicationsApplianceTypeIntelligentPeripheral
IfcCommunicationsAppliance,IPNETWORKEQUIPMENT,Pset_CommunicationsApplianceTypeIpNetworkEquipment
IfcCommunicationsApplianceType,IPNETWORKEQUIPMENT,Pset_CommunicationsApplianceTypeIpNetworkEquipment
IfcCommunicationsAppliance,MODEM,Pset_CommunicationsApplianceTypeModem
IfcCommunicationsApplianceType,MODEM,Pset_CommunicationsApplianceTypeModem
IfcCommunicationsAppliance,MODEM,Pset_DataTransmissionUnit
IfcCommunicationsApplianceType,MODEM,Pset_DataTransmissionUnit
IfcCommunicationsAppliance,OPTICALLINETERMINAL,Pset_CommunicationsApplianceTypeOpticalLineTerminal
IfcCommunicationsApplianceType,OPTICALLINETERMINAL,Pset_CommunicationsApplianceTypeOpticalLineTerminal
IfcCommunicationsAppliance,OPTICALNETWORKUNIT,Pset_CommunicationsApplianceTypeOpticalNetworkUnit
IfcCommunicationsApplianceType,OPTICALNETWORKUNIT,Pset_CommunicationsApplianceTypeOpticalNetworkUnit
IfcCommunicationsAppliance,TELECOMMAND,Pset_CommunicationsApplianceTypeTelecommand
IfcCommunicationsApplianceType,TELECOMMAND,Pset_CommunicationsApplianceTypeTelecommand
IfcCommunicationsAppliance,TELEPHONYEXCHANGE,Pset_CommunicationsApplianceTypeTelephonyExchange
IfcCommunicationsApplianceType,TELEPHONYEXCHANGE,Pset_CommunicationsApplianceTypeTelephonyExchange
IfcCommunicationsAppliance,TRANSPONDER,Pset_RailwayBalise
IfcCommunicationsApplianceType,TRANSPONDER,Pset_RailwayBalise
IfcCommunicationsAppliance,TRANSPORTEQUIPMENT,Pset_CommunicationsApplianceTypeTransportEquipment
IfcCommunicationsApplianceType,TRANSPORTEQUIPMENT,Pset_CommunicationsApplianceTypeTransportEquipment
IfcCommunicationsAppliance,TRANSPORTEQUIPMENT,Pset_TransportEquipmentOTN
IfcCommunicationsApplianceType,TRANSPORTEQUIPMENT,Pset_TransportEquipmentOTN
IfcCompressor,,Pset_CompressorTypeCommon
IfcCompressorType,,Pset_CompressorTypeCommon
IfcCondenser,,Pset_CondenserTypeCommon
IfcCondenserType,,Pset_CondenserTypeCommon
IfcConstructionResource,,Pset_ConstructionResource
IfcConstructionResourceType,,Pset_ConstructionResource
IfcController,,Pset_ControllerTypeCommon
IfcControllerType,,Pset_ControllerTypeCommon
IfcController,,Pset_OnSiteTelecomControlUnit
IfcControllerType,,Pset_OnSiteTelecomControlUnit
IfcController,FLOATING,Pset_ControllerTypeFloating
IfcControllerType,FLOATING,Pset_ControllerTypeFloating
IfcController,MULTIPOSITION,Pset_ControllerTypeMultiPosition
IfcControllerType,MULTIPOSITION,Pset_ControllerTypeMultiPosition
IfcController,PROGRAMMABLE,Pset_ControllerTypeProgrammable
IfcControllerType,PROGRAMMABLE,Pset_ControllerTypeProgrammable
IfcController,PROPORTIONAL,Pset_ControllerTypeProportional
IfcControllerType,PROPORTIONAL,Pset_ControllerTypeProportional
IfcController,TWOPOSITION,Pset_ControllerTypeTwoPosition
IfcControllerType,TWOPOSITION,Pset_ControllerTypeTwoPosition
IfcCooledBeam,,Pset_CooledBeamTypeCommon
IfcCooledBeamType,,Pset_CooledBeamTypeCommon
IfcCooledBeam,ACTIVE,Pset_CooledBeamTypeActive
IfcCooledBeamType,ACTIVE,Pset_CooledBeamTypeActive
IfcCoolingTower,,Pset_CoolingTowerTypeCommon
IfcCoolingTowerType,,Pset_CoolingTowerTypeCommon
IfcCourse,,Pset_BoundedCourseCommon
IfcCourseType,,Pset_BoundedCourseCommon
IfcCourse,,Pset_CourseApplicationConditions
IfcCourseType,,Pset_CourseApplicationConditions
IfcCourse,,Pset_CourseCommon
IfcCourseType,,Pset_CourseCommon
IfcCovering,,Pset_CoveringCommon
IfcCoveringType,,Pset_CoveringCommon
IfcCovering,FLOORING,Pset_CoveringFlooring
IfcCoveringType,FLOORING,Pset_CoveringFlooring
IfcCovering,MEMBRANE,Pset_CoveringTypeMembrane
IfcCoveringType,MEMBRANE,Pset_CoveringTypeMembrane
IfcCurtainWall,,Pset_CurtainWallCommon
IfcCurtainWallType,,Pset_CurtainWallCommon
IfcDamper,,Pset_DamperOccurrence
IfcDamper,,Pset_DamperTypeCommon
IfcDamperType,,Pset_DamperTypeCommon
IfcDamper,CONTROLDAMPER,Pset_DamperTypeControlDamper
IfcDamperType,CONTROLDAMPER,Pset_DamperTypeControlDamper
IfcDamper,FIREDAMPER,Pset_DamperTypeFireDamper
IfcDamperType,FIREDAMPER,Pset_DamperTypeFireDamper
IfcDamper,FIRESMOKEDAMPER,Pset_DamperTypeFireSmokeDamper
IfcDamperType,FIRESMOKEDAMPER,Pset_DamperTypeFireSmokeDamper
IfcDamper,SMOKEDAMPER,Pset_DamperTypeSmokeDamper
IfcDamperType,SMOKEDAMPER,Pset_DamperTypeSmokeDamper
IfcDiscreteAccessory,,Pset_DiscreteAccessoryCornerFixingPlate
IfcDiscreteAccessoryType,,Pset_DiscreteAccessoryCornerFixingPlate
IfcDiscreteAccessory,,Pset_DiscreteAccessoryDiagonalTrussConnector
IfcDiscreteAccessoryType,,Pset_DiscreteAccessoryDiagonalTrussConnector
IfcDiscreteAccessory,,Pset_DiscreteAccessoryEdgeFixingPlate
IfcDiscreteAccessoryType,,Pset_DiscreteAccessoryEdgeFixingPlate
IfcDiscreteAccessory,,Pset_DiscreteAccessoryFixingSocket
IfcDiscreteAccessoryType,,Pset_DiscreteAccessoryFixingSocket
IfcDiscreteAccessory,,Pset_DiscreteAccessoryLadderTrussConnector
IfcDiscreteAccessoryType,,Pset_DiscreteAccessoryLadderTrussConnector
IfcDiscreteAccessory,,Pset_DiscreteAccessoryStandardFixingPlate
IfcDiscreteAccessoryType,,Pset_DiscreteAccessoryStandardFixingPlate
IfcDiscreteAccessory,,Pset_DiscreteAccessoryWireLoop
IfcDiscreteAccessoryType,,Pset_DiscreteAccessoryWireLoop
IfcDiscreteAccessory,BRACKET,Pset_DiscreteAccessoryTypeBracket
IfcDiscreteAccessoryType,BRACKET,Pset_DiscreteAccessoryTypeBracket
IfcDiscreteAccessory,CABLEARRANGER,Pset_DiscreteAccessoryTypeCableArranger
IfcDiscreteAccessoryType,CABLEARRANGER,Pset_DiscreteAccessoryTypeCableArranger
