ApplicableEntity,PredefinedType,PortName,Flow
IfcCoil,WATERCOOLINGCOIL,ChilledWaterOut,SOURCE
IfcCoil,WATERCOOLINGCOIL,AirIn,SINK
IfcCoil,WATERCOOLINGCOIL,AirOut,SOURCE
IfcCoil,HEATING,HeatingIn,SINK
IfcCoil,HEATING,HeatingOut,SOURCE
IfcCoil,WATERHEATINGCOIL,AirIn,SINK
IfcCoil,WATERHEATINGCOIL,AirOut,SOURCE
IfcCommunicationsAppliance,ELECTRICAL,Power,SINK
IfcCommunicationsAppliance,SIGNAL,Radio,SINK
IfcCommunicationsAppliance,SIGNAL,Signal,SOURCE
IfcCommunicationsAppliance,ELECTRICAL,Power,SINK
IfcCommunicationsAppliance,DATA,Network,SINK
IfcCommunicationsAppliance,CONTROL,Device,SOURCE
IfcCommunicationsAppliance,COMPUTER,Display,SOURCE
IfcCommunicationsAppliance,FAX,Power,SINK
IfcCommunicationsAppliance,FAX,Phone,SINK
IfcCommunicationsAppliance,ELECTRICAL,Power,SINK
IfcCommunicationsAppliance,MODEM,Signal,SINK
IfcCommunicationsAppliance,MODEM,Internet,SOURCE
IfcCommunicationsAppliance,TV,Television,SOURCE
IfcCommunicationsAppliance,TELEPHONE,Telephone,SOURCE
IfcCommunicationsAppliance,PRINTER,Power,SINK
IfcCommunicationsAppliance,DATA,Network,SINK
IfcCommunicationsAppliance,PRINTER,Phone,SINK
IfcCommunicationsAppliance,REPEATER,Power,SINK
IfcCommunicationsAppliance,SIGNAL,Input,SINK
IfcCommunicationsAppliance,REPEATER,Output,SOURCE
IfcCommunicationsAppliance,ROUTER,Power,SINK
IfcCommunicationsAppliance,ROUTER,Uplink,SINK
IfcCommunicationsAppliance,ROUTER,WiFi,SOURCE
IfcCommunicationsAppliance,ROUTER,Link#1,SOURCE
IfcCommunicationsAppliance,ROUTER,Link#2,SOURCE
IfcCommunicationsAppliance,DATA,Link#3,SOURCE
IfcCommunicationsAppliance,ROUTER,Link#4,SOURCE
IfcCommunicationsAppliance,DATA,Link#5,SOURCE
IfcCommunicationsAppliance,ROUTER,Link#6,SOURCE
IfcCommunicationsAppliance,DATA,Link#7,SOURCE
IfcCommunicationsAppliance,DATA,Link#8,SOURCE
IfcCompressor,REFRIGERATION,RefrigerantIn,SINK
IfcCompressor,REFRIGERATION,RefrigerantOut,SOURCE
IfcCondenser,REFRIGERATION,RefrigerantIn,SINK
IfcCondenser,REFRIGERATION,RefrigerantOut,SOURCE
IfcCondenser,AIRCOOLED,CompressedAirIn,SINK
IfcCondenser,COMPRESSEDAIR,CompressedAirOut,SOURCE
IfcCondenser,EVAPORATIVECOOLED,RefrigerantIn,SINK
IfcCondenser,REFRIGERATION,RefrigerantOut,SOURCE
IfcCondenser,EVAPORATIVECOOLED,CondenserWaterIn,SINK
IfcCondenser,CONDENSERWATER,CondenserWaterOut,SOURCE
IfcCondenser,VENTILATION,VentilationIn,SINK
IfcCondenser,EVAPORATIVECOOLED,VentilationOut,SOURCE
IfcCondenser,WATERCOOLED,RefrigerantIn,SINK
IfcCondenser,WATERCOOLED,RefrigerantOut,SOURCE
IfcCondenser,CONDENSERWATER,CondenserWaterIn,SINK
IfcCondenser,WATERCOOLED,CondenserWaterOut,SOURCE
IfcController,FLOATING,Input,SINK
IfcController,FLOATING,Modifier,SINK
IfcController,SIGNAL,Output,SOURCE
IfcController,SIGNAL,Input,SINK
IfcController,SIGNAL,Modifier,SINK
IfcController,MULTIPOSITION,Output,SOURCE
IfcController,PROGRAMMABLE,Power,SINK
IfcController,PROGRAMMABLE,Control,SINK
IfcController,DATA,Data,SOURCE
IfcController,SIGNAL,Input#1,SINK
IfcController,PROGRAMMABLE,Output#1,SOURCE
IfcController,PROPORTIONAL,Input,SINK
IfcController,SIGNAL,Modifier,SINK
IfcController,PROPORTIONAL,Output,SOURCE
IfcController,TWOPOSITION,Input,SINK
IfcController,TWOPOSITION,Modifier,SINK
IfcController,TWOPOSITION,Output,SOURCE
IfcCooledBeam,CHILLEDWATER,ChilledWaterIn,SINK
IfcCooledBeam,CHILLEDWATER,ChilledWaterOut,SOURCE
IfcCoolingTower,CONDENSERWATER,CondenserWaterIn,SINK
IfcCoolingTower,CONDENSERWATER,CondenserWaterOut,SOURCE
IfcDamper,AIRCONDITIONING,AirIn,SINK
IfcDamper,AIRCONDITIONING,AirOut,SOURCE
IfcDuctFitting,NOTDEFINED,Inlet,SINK
IfcDuctFitting,NOTDEFINED,Outlet,SOURCE
IfcDuctFitting,CONNECTOR,Inlet,SINK
IfcDuctFitting,NOTDEFINED,Outlet,SOURCE
IfcDuctFitting,NOTDEFINED,Outlet,SOURCE
IfcDuctFitting,EXIT,Inlet,SINK
IfcDuctFitting,JUNCTION,Inlet,SINK
IfcDuctFitting,JUNCTION,Outlet#1,SOURCE
IfcDuctFitting,JUNCTION,Outlet#2,SOURCE
IfcDuctFitting,NOTDEFINED,Inlet,SINK
IfcDuctFitting,NOTDEFINED,Outlet,SOURCE
IfcDuctSegment,NOTDEFINED,Inlet,SINK
IfcDuctSegment,NOTDEFINED,Outlet,SOURCE
IfcDuctSilencer,AIRCONDITIONING,Inlet,SINK
IfcDuctSilencer,AIRCONDITIONING,Outlet,SOURCE
IfcElectricAppliance,DISHWASHER,Power,SINK
IfcElectricAppliance,DISHWASHER,HotWater,SINK
IfcElectricAppliance,DRAINAGE,Drainage,SOURCE
IfcElectricAppliance,ELECTRICAL,Power,SINK
IfcElectricAppliance,FREEZER,Power,SINK
IfcElectricAppliance,FRIDGE_FREEZER,Power,SINK
IfcElectricAppliance,DOMESTICCOLDWATER,ColdWater,SINK
IfcElectricAppliance,HANDDRYER,Power,SINK
IfcElectricAppliance,MICROWAVE,Power,SINK
IfcElectricAppliance,ELECTRICAL,Power,SINK
IfcElectricAppliance,ELECTRICAL,Power,SINK
IfcElectricAppliance,GAS,Gas,SINK
IfcElectricAppliance,TUMBLEDRYER,Exhaust,SINK
IfcElectricAppliance,ELECTRICAL,Power,SINK
IfcElectricAppliance,WASHINGMACHINE,ColdWater,SINK
IfcElectricAppliance,WASHINGMACHINE,HotWater,SINK
IfcElectricAppliance,WASHINGMACHINE,Drainage,SOURCE
IfcElectricDistributionBoard,CONSUMERUNIT,Line,SINK
IfcElectricDistributionBoard,CONSUMERUNIT,Ground,SINK
IfcElectricDistributionBoard,ELECTRICAL,Circuit#1,SOURCE
IfcElectricDistributionBoard,CONSUMERUNIT,Circuit#2,SOURCE
IfcElectricDistributionBoard,CONSUMERUNIT,Circuit#3,SOURCE
IfcElectricDistributionBoard,ELECTRICAL,Circuit#4,SOURCE
IfcElectricDistributionBoard,ELECTRICAL,Circuit#5,SOURCE
IfcElectricDistributionBoard,ELECTRICAL,Circuit#6,SOURCE
IfcElectricDistributionBoard,ELECTRICAL,Circuit#7,SOURCE
IfcElectricDistributionBoard,CONSUMERUNIT,Circuit#8,SOURCE
IfcElectricFlowStorageDevice,ELECTRICAL,Line,SINK
IfcElectricFlowStorageDevice,ELECTRICAL,Load,SOURCE
IfcElectricGenerator,ELECTRICAL,Load,SOURCE
IfcElectricMotor,ELECTRICAL,Line,SINK
IfcElectricMotor,NOTDEFINED,Drive,SOURCE
IfcElectricTimeControl,ELECTRICAL,Line,SINK
IfcElectricTimeControl,ELECTRICAL,Drive,SOURCE
IfcEngine,GAS,Fuel,SINK
IfcEngine,NOTDEFINED,Drive,SOURCE
IfcEvaporativeCooler,DOMESTICCOLDWATER,WaterIn,SINK
IfcEvaporativeCooler,AIRCONDITIONING,AirIn,SINK
IfcEvaporativeCooler,AIRCONDITIONING,AirOut,SOURCE
IfcEvaporator,DIRECTEXPANSION,RefrigerantIn,SINK
IfcEvaporator,DIRECTEXPANSION,RefrigerantOut,SINK
IfcEvaporator,DIRECTEXPANSION,AirIn,SINK
IfcEvaporator,DIRECTEXPANSION,AirOut,SOURCE
IfcEvaporator,FLOODEDSHELLANDTUBE,RefrigerantIn,SINK
IfcEvaporator,REFRIGERATION,RefrigerantOut,SINK
IfcEvaporator,FLOODEDSHELLANDTUBE,ChilledWaterIn,SINK
IfcEvaporator,FLOODEDSHELLANDTUBE,ChilledWaterOut,SOURCE
IfcEvaporator,SHELLANDCOIL,RefrigerantIn,SINK
IfcEvaporator,SHELLANDCOIL,RefrigerantOut,SINK
IfcEvaporator,CHILLEDWATER,ChilledWaterIn,SINK
IfcEvaporator,FLOODEDSHELLANDTUBE,ChilledWaterOut,SOURCE
IfcFan,NOTDEFINED,AirIn,SINK
IfcFan,NOTDEFINED,AirOut,SOURCE
IfcFilter,AIRPARTICLEFILTER,Inlet,SINK
IfcFilter,AIRPARTICLEFILTER,Outlet,SOURCE
IfcFilter,COMPRESSEDAIR,Inlet,SINK
IfcFilter,COMPRESSEDAIRFILTER,Outlet,SOURCE
IfcFilter,ODORFILTER,Inlet,SINK
IfcFilter,EXHAUST,Outlet,SOURCE
IfcFilter,OIL,Inlet,SINK
IfcFilter,OILFILTER,Outlet,SOURCE
IfcFilter,DRAINAGE,Inlet,SINK
IfcFilter,STRAINER,Outlet,SOURCE
IfcFilter,WATERFILTER,Inlet,SINK
IfcFilter,WATERFILTER,Outlet,SOURCE
IfcFireSuppressionTerminal,FIREHYDRANT,Line,SINK
IfcFireSuppressionTerminal,FIREHYDRANT,Hose,SOURCE
IfcFireSuppressionTerminal,FIREPROTECTION,Line,SINK
IfcFlowInstrument,SIGNAL,Input,SINK
IfcFlowMeter,ELECTRICAL,Inlet,SINK
IfcFlowMeter,ENERGYMETER,Outlet,SOURCE
IfcFlowMeter,GAS,Inlet,SINK
IfcFlowMeter,GASMETER,Outlet,SOURCE
IfcFlowMeter,OILMETER,Inlet,SINK
IfcFlowMeter,OIL,Outlet,SOURCE
IfcFlowMeter,DOMESTICCOLDWATER,Inlet,SINK
IfcFlowMeter,WATERMETER,Outlet,SOURCE
IfcHeatExchanger,NOTDEFINED,HeatingInlet,SINK
IfcHeatExchanger,NOTDEFINED,HeatingOutlet,SOURCE
IfcHeatExchanger,NOTDEFINED,CoolingInlet,SINK
IfcHeatExchanger,NOTDEFINED,CoolingOutlet,SOURCE
IfcHumidifier,DOMESTICCOLDWATER,WaterIn,SINK
IfcHumidifier,AIRCONDITIONING,AirIn,SINK
IfcHumidifier,AIRCONDITIONING,AirOut,SOURCE
IfcInterceptor,DRAINAGE,Inlet,SINK
IfcInterceptor,DRAINAGE,Outlet,SOURCE
IfcLamp,LIGHTING,Socket,SINK
IfcLightFixture,POINTSOURCE,Line,SINK
IfcLightFixture,POINTSOURCE,Socket,SOURCE
IfcLightFixture,ELECTRICAL,Line,SINK
IfcLightFixture,LIGHTING,Socket#1,SOURCE
IfcLightFixture,DIRECTIONSOURCE,Socket#2,SOURCE
IfcLightFixture,DIRECTIONSOURCE,Socket#3,SOURCE
IfcLightFixture,DIRECTIONSOURCE,Socket#4,SOURCE
IfcMedicalDevice,ELECTRICAL,Power,SINK
IfcMedicalDevice,VACUUM,Vacuum,SOURCE
IfcMotorConnection,NOTDEFINED,Motor,SINK
IfcMotorConnection,NOTDEFINED,Motor,SOURCE
IfcOutlet,DATAOUTLET,Line#1,SINK
IfcOutlet,DATAOUTLET,Line#2,SINK
IfcOutlet,DATAOUTLET,Jack#1,SOURCE
IfcOutlet,DATA,Jack#2,SOURCE
IfcOutlet,ELECTRICAL,Line#1,SINK
IfcOutlet,POWEROUTLET,Jack#1,SOURCE
IfcOutlet,ELECTRICAL,Jack#1,SOURCE
IfcOutlet,TELEPHONEOUTLET,Line#1,SINK
IfcOutlet,TELEPHONE,Line#2,SINK
IfcOutlet,TELEPHONEOUTLET,Jack#1,SINK
IfcOutlet,TELEPHONEOUTLET,Jack#2,SINK
IfcPipeFitting,NOTDEFINED,Inlet,SINK
IfcPipeFitting,BEND,Outlet,SOURCE
IfcPipeFitting,NOTDEFINED,Inlet,SINK
IfcPipeFitting,NOTDEFINED,Outlet,SOURCE
IfcPipeFitting,ENTRY,Outlet,SOURCE
IfcPipeFitting,EXIT,Inlet,SINK
IfcPipeFitting,NOTDEFINED,Inlet,SINK
IfcPipeFitting,NOTDEFINED,Outlet#1,SOURCE
IfcPipeFitting,NOTDEFINED,Outlet#2,SOURCE
IfcPipeFitting,OBSTRUCTION,Inlet,SINK
IfcPipeFitting,NOTDEFINED,Outlet,SOURCE
IfcPipeSegment,NOTDEFINED,Inlet,SINK
IfcPipeSegment,NOTDEFINED,Outlet,SOURCE
IfcProtectiveDevice,ELECTRICAL,Line,SINK
IfcProtectiveDevice,ELECTRICAL,Load,SOURCE
IfcPump,ELECTRICAL,Power,SINK
IfcPump,NOTDEFINED,Inlet,SINK
IfcPump,NOTDEFINED,Outlet,SOURCE
IfcSanitaryTerminal,BATH,Drainage,SOURCE
IfcSanitaryTerminal,BIDET,ColdWater,SINK
IfcSanitaryTerminal,BIDET,HotWater,SINK
IfcSanitaryTerminal,DRAINAGE,Drainage,SOURCE
IfcSanitaryTerminal,CISTERN,ColdWater,SINK
IfcSanitaryTerminal,DOMESTICHOTWATER,HotWater,SINK
IfcSanitaryTerminal,CISTERN,Drainage,SOURCE
IfcSanitaryTerminal,SANITARYFOUNTAIN,ColdWater,SINK
IfcSanitaryTerminal,SANITARYFOUNTAIN,HotWater,SINK
IfcSanitaryTerminal,DRAINAGE,Drainage,SOURCE
IfcSanitaryTerminal,SHOWER,Drainage,SOURCE
IfcSanitaryTerminal,SINK,Drainage,SOURCE
IfcSanitaryTerminal,DOMESTICCOLDWATER,ColdWater,SINK
IfcSanitaryTerminal,DRAINAGE,Drainage,SOURCE
IfcSanitaryTerminal,DOMESTICCOLDWATER,ColdWater,SINK
IfcSanitaryTerminal,URINAL,Drainage,SOURCE
IfcSanitaryTerminal,WASHHANDBASIN,ColdWater,SINK
IfcSanitaryTerminal,DOMESTICHOTWATER,HotWater,SINK
IfcSanitaryTerminal,WASHHANDBASIN,Drainage,SOURCE
IfcSensor,SIGNAL,Output,SOURCE
IfcSolarDevice,HEATING,Inlet,SOURCE
IfcSolarDevice,HEATING,Outlet,SINK
IfcSolarDevice,SOLARPANEL,Load,SOURCE
IfcSpaceHeater,ELECTRICAL,Power,SINK
IfcSpaceHeater,HEATING,Inlet,SINK
IfcSpaceHeater,RADIATOR,Outlet,SOURCE
IfcStackTerminal,BIRDCAGE,Exhaust,SINK
IfcStackTerminal,COWL,Exhaust,SINK
IfcStackTerminal,RAINWATERHOPPER,Rain,SINK
IfcSwitchingDevice,ELECTRICAL,Line,SINK
IfcSwitchingDevice,ELECTRICAL,Load,SOURCE
IfcTank,NOTDEFINED,Inlet,SINK
IfcTank,NOTDEFINED,Outlet,SOURCE
IfcTransformer,ELECTRICAL,Line,SINK
IfcTransformer,ELECTRICAL,Load,SOURCE
IfcTubeBundle,NOTDEFINED,Inlet,SINK
IfcTubeBundle,NOTDEFINED,Outlet,SOURCE
IfcUnitaryControlElement,CONTROL,Control,SOURCE
IfcUnitaryEquipment,AIRCONDITIONING,ReturnAirIn,SINK
IfcUnitaryEquipment,AIRHANDLER,SupplyAirOut,SOURCE
IfcUnitaryEquipment,VENTILATION,OutsideAirIn,SINK
IfcUnitaryEquipment,AIRHANDLER,ExhaustAirOut,SOURCE
IfcUnitaryEquipment,AIRHANDLER,ChilledWaterIn,SINK
IfcUnitaryEquipment,AIRHANDLER,ChilledWaterOut,SOURCE
IfcUnitaryEquipment,AIRHANDLER,HeatingIn,SINK
IfcUnitaryEquipment,AIRHANDLER,HeatingOut,SOURCE
IfcUnitaryEquipment,AIRHANDLER,Power,SINK
IfcUnitaryEquipment,AIRHANDLER,Control,SINK
IfcValve,AIRHANDLER,Inlet,SINK
IfcValve,NOTDEFINED,Outlet,SOURCE
IfcValve,CHANGEOVER,Inlet,SINK
IfcValve,CHANGEOVER,Outlet#1,SINK
IfcValve,NOTDEFINED,Outlet#2,SINK
IfcValve,NOTDEFINED,Inlet,SINK
IfcValve,NOTDEFINED,Outlet,SINK
IfcValve,NOTDEFINED,Inlet,SINK
IfcValve,COMMISSIONING,Outlet,SOURCE
IfcValve,DIVERTING,Inlet,SINK
IfcValve,NOTDEFINED,Outlet#1,SINK
IfcValve,NOTDEFINED,Outlet#2,SINK
IfcValve,DOUBLECHECK,Inlet,SINK
IfcValve,DOUBLECHECK,Outlet,SINK
IfcValve,DOUBLEREGULATING,Inlet,SINK
IfcValve,DOUBLEREGULATING,Outlet,SINK
IfcValve,NOTDEFINED,Inlet,SINK
IfcValve,FAUCET,Inlet,SINK
IfcValve,NOTDEFINED,Inlet,SINK
IfcValve,NOTDEFINED,Outlet,SINK
IfcValve,GAS,Inlet,SINK
IfcValve,GASTAP,Inlet,SINK
IfcValve,ISOLATING,Inlet,SINK
IfcValve,ISOLATING,Outlet,SOURCE
IfcValve,MIXING,Inlet#1,SINK
IfcValve,NOTDEFINED,Inlet#2,SINK
IfcValve,MIXING,Outlet,SOURCE
IfcValve,PRESSUREREDUCING,Inlet,SINK
IfcValve,PRESSUREREDUCING,Outlet,SOURCE
IfcValve,PRESSURERELIEF,Inlet,SINK
IfcValve,REGULATING,Inlet,SINK
IfcValve,REGULATING,Inlet,SOURCE
IfcValve,NOTDEFINED,Inlet,SINK
IfcValve,SAFETYCUTOFF,Outlet,SOURCE
IfcValve,STEAMTRAP,Inlet,SINK
IfcValve,STEAMTRAP,Outlet,SOURCE
IfcValve,STOPCOCK,Inlet,SINK
IfcWasteTerminal,DRAINAGE,Inlet,SINK
IfcWasteTerminal,FLOORTRAP,Outlet,SOURCE
IfcWasteTerminal,FLOORWASTE,Inlet,SINK
IfcWasteTerminal,FLOORWASTE,Outlet,SOURCE
IfcWasteTerminal,GULLYSUMP,Inlet,SINK
IfcWasteTerminal,GULLYSUMP,Inlet,SOURCE
IfcWasteTerminal,GULLYTRAP,Inlet,SINK
IfcWasteTerminal,GULLYTRAP,Inlet,SOURCE
IfcWasteTerminal,ROOFDRAIN,Outlet,SOURCE
IfcWasteTerminal,WASTEDISPOSALUNIT,Inlet,SINK
IfcWasteTerminal,WASTEDISPOSALUNIT,Outlet,SOURCE
IfcWasteTerminal,WASTETRAP,Inlet,SINK
IfcWasteTerminal,WASTETRAP,Outlet,SOURCE
